year,stateabbr,statedesc,locationname,locationid,totalpopulation,ACCESS2,BPHIGH,COPD,CSMOKING,DEPRESSION,DIABETES,GHLTH,LPA,MHLTH,OBESITY,STROKE,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,AK,Alaska,Kusilvak,2158,8001,18.1,41.5,12.4,36.9,22.7,18.0,39.0,38.5,23.5,47.0,6.2,1.975363430937018,2.932021436826325,1.7108463540058452,4.739970994067951,3.4995521502782565,-0.393828053056709,5.803608504812909,2.130203827149696,3.9359552175695858,2.4459369668573783,1.3534736549954207,11,1.0,2.739373134949425,5.0,99.86468200270636,Very High,True,True,True
2023,AK,Alaska,Bethel,2050,18224,15.9,39.7,10.4,31.2,20.3,14.7,32.7,34.4,20.9,39.4,5.4,0.3736148911345686,1.5157517678049215,1.3240938396713329,3.445485030541501,2.206548443482116,-1.0875693600054894,4.194420676811486,1.3694934113797994,2.582017972347625,1.1462174555026527,0.8901298878190342,11,1.0,1.632745819680868,85.0,97.15832205683355,Very High,True,True,True
2023,AK,Alaska,Northwest Arctic,2188,7361,14.2,38.1,9.1,28.6,20.3,14.6,29.9,30.8,20.3,40.9,4.8,0.6897494713587362,1.4728345051073035,0.9803138269295432,2.474620557896662,1.366096034064623,-1.0875693600054894,3.4604051763196098,0.7015525585086716,1.980268085582308,0.8462821836515635,0.5320915222736446,11,1.0,1.2196949601533795,204.0,93.13261163734776,Very High,True,True,False
2023,AK,Alaska,Nome,2180,9763,13.5,35.5,9.1,28.7,20.1,13.7,28.7,30.3,20.0,38.8,4.8,0.2471610590449013,1.0865791408287389,0.4216713062241352,2.474620557896662,1.366096034064623,-1.1453811355845545,3.488636541723143,0.6087829956099038,1.7223752769686012,0.696314547726018,0.3846639599902491,11,1.0,1.0319563894993111,323.0,89.10690121786197,Very High,True,True,False
2023,AK,Alaska,Yukon-Koyukuk,2290,5129,13.8,37.1,9.1,27.5,20.6,13.9,28.9,28.3,20.0,36.6,4.7,-0.2165029919505435,1.1724136662239757,0.7654513189659249,2.312809812455856,1.366096034064623,-1.0008516966368917,3.149860156880738,0.2377047440148326,1.765357411737552,0.696314547726018,0.4478472009688474,11,1.0,0.9724091094955396,367.0,87.61840324763193,Very High,True,True,False
2023,AK,Alaska,Dillingham,2070,4607,13.4,33.9,8.2,25.7,20.0,12.5,26.5,29.3,19.3,38.5,4.4,0.1839341430000684,0.5715719884573197,0.0778912934823456,1.8273775761334372,0.7842443660063597,-1.1742870233740874,2.64169557961713,0.4232438698123682,1.2495717945101386,0.3463900638997462,0.3636028796640498,11,1.0,0.6632033210189889,619.0,79.09336941813261,High,True,False,False
2023,AK,Alaska,Lake and Peninsula,2164,1331,12.6,35.0,8.1,24.2,20.5,12.6,26.0,28.7,19.2,38.6,4.3,0.2050097816816798,0.6144892511549378,0.3142400522423261,1.66556683069263,0.7195941806665529,-1.0297575844264246,2.2182250985641243,0.3119203943338465,1.1421164575877607,0.2964008519245638,0.1951142370544547,11,1.0,0.604810868316041,660.0,77.7063599458728,High,True,False,False
2023,AK,Alaska,Prince of Wales-Hyder,2198,5696,11.8,33.2,7.6,22.0,21.4,11.0,23.9,25.1,18.6,37.7,3.9,0.0153290335471796,-0.0721869520069545,-0.0725124620921863,1.018323848929405,0.3963432539675176,-0.7696045943206322,1.5971350596863825,-0.3560204585372812,0.6908040425137733,-0.0035344199265254,0.0266255944448599,11,1.0,0.224609267836867,1083.0,63.39648173207036,High,True,False,False
2023,AK,Alaska,Yakutat,2282,687,12.6,33.8,6.9,20.3,19.3,10.6,22.1,25.2,17.7,34.6,3.7,-0.638015765582767,-0.2438560027974278,0.0564050426859834,0.6947023580477928,-0.0562080434111312,-1.3766282379008148,1.117201847826309,-0.337466545957528,0.3039648295932135,-0.453437327703162,0.1951142370544547,11,1.0,-0.0671112371040979,1465.0,50.47361299052774,Moderate,False,False,False
2023,AK,Alaska,Hoonah-Angoon,2105,2262,11.3,33.2,6.9,19.7,20.5,10.4,21.8,24.3,17.8,36.4,3.6,-0.2586542693137665,-0.3296905281926641,-0.0725124620921863,0.5328916126069863,-0.0562080434111312,-1.0297575844264246,0.947813655405106,-0.5044517591753098,0.2394916274397866,-0.4034481157279796,-0.0786798071861369,11,1.0,-0.0921096067339745,1507.0,49.05277401894452,Moderate,False,False,False
