indicator,correlation_with_burden,observations,priority_county_mean,overall_mean,difference,percent_difference
GHLTH,0.9387555107263832,2956,31.21216216216216,20.68562246278755,10.52653969937461,50.888194050294366
COPD,0.9178041954929108,2956,10.182432432432432,6.986941813261164,3.1954906191712675,45.73518292518552
STROKE,0.9136815569537624,2956,4.818918918918919,3.270669824086604,1.548249094832315,47.33737057254604
LPA,0.902357156065329,2956,38.015540540540535,27.01884303112314,10.996697509417396,40.700105096099946
DIABETES,0.9008999310153984,2956,16.619594594594595,11.168200270635994,5.451394323958601,48.81175294010161
CSMOKING,0.88538018646994,2956,23.702702702702695,16.342692828146145,7.360009874556553,45.03547825289112
BPHIGH,0.8836628906462349,2956,43.178378378378376,33.53748308525034,9.64089529312804,28.746627373978672
MHLTH,0.8346883354403862,2956,21.839189189189188,18.60707036535859,3.2321188238305965,17.370379970443604
OBESITY,0.7718618614491309,2956,45.26283783783784,37.62726657645467,7.635571261383163,20.292654652095123
ACCESS2,0.502262200602383,2956,16.243243243243242,11.673579161028416,4.5696640822148265,39.14535567180965
DEPRESSION,0.3318778205603629,2956,25.187162162162164,24.062449255751016,1.1247129064111476,4.674141416183296
