stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
SD,South Dakota,Oglala Lakota,46102,13434,3.591987579071729,100.0,Very High,11,1.0,CSMOKING,STROKE,DIABETES,2.1228929017082967,5.421222673288186,1.925708861969464,6.681699939357627,5.180456969113239,-0.1625809507404485,6.763474928533056,2.72392902970181,4.387267632643574,2.945829086609196,1.5219622976050151
SD,South Dakota,Todd,46121,9199,3.334740947028234,99.96617050067658,Very High,11,1.0,CSMOKING,STROKE,DIABETES,2.649783868748576,5.0349673090096205,1.7538188555985694,6.034456957594402,4.72790567173459,-0.1914868385299814,6.085922158848247,2.83525250518033,3.9574462849540617,2.545915390807741,1.2481682533644238
LA,Louisiana,East Carroll,22035,6829,3.16297839622122,99.93234100135318,Very High,11,1.0,STROKE,DIABETES,GHLTH,2.965918448972744,4.3482911058477285,4.074333941605647,5.22540323039037,3.693502706297677,0.2710073661025395,3.6015620033372784,3.169222931615895,4.086392689260916,2.4459369668573783,0.9111909681452336
TN,Tennessee,Lake,47095,6347,2.7473138278883984,99.89851150202978,Very High,11,1.0,COPD,CSMOKING,GHLTH,2.038590346981851,2.846186911431089,2.8496176462130216,3.121863539659888,4.146054003676327,1.5139605410524388,3.799181561162015,2.2229733900484634,3.248241061266367,2.595904602782924,1.8378785024980056
AK,Alaska,Kusilvak,2158,8001,2.739373134949425,99.86468200270636,Very High,11,1.0,CSMOKING,STROKE,GHLTH,1.975363430937018,2.932021436826325,1.7108463540058452,4.739970994067951,3.4995521502782565,-0.393828053056709,5.803608504812909,2.130203827149696,3.9359552175695858,2.4459369668573783,1.3534736549954207
LA,Louisiana,Madison,22065,9246,2.72205562151747,99.83085250338294,Very High,11,1.0,STROKE,DIABETES,BPHIGH,2.6287082300669646,3.6186976399882185,3.451232668511154,4.254538757745532,3.1116510382394145,0.9069368974722553,2.7828524066348,2.872360330339838,3.3771874655732206,2.595904602782924,0.3425417993378505
AL,Alabama,Bullock,1011,9897,2.702222365794914,99.79702300405954,Very High,11,1.0,STROKE,DIABETES,BPHIGH,2.818388978201465,4.3482911058477285,4.052847690809284,4.739970994067951,2.723749926200571,-0.6828869309520343,2.4158446563888605,2.909468155499346,3.678062408955878,1.3461743034033806,1.3745347353216195
WV,West Virginia,McDowell,54047,17439,2.702202630034302,99.76319350473612,Very High,11,1.0,COPD,MHLTH,CSMOKING,1.785682682802518,2.674517860640615,2.3769201286930626,2.312809812455856,4.275354374355941,2.4678548381070127,3.6580247341443455,2.890914242919592,3.033330387421611,3.695667266236921,0.5531526025998443
ND,North Dakota,Sioux,38085,3643,2.620722960540378,99.72936400541272,Very High,11,1.0,CSMOKING,STROKE,DIABETES,2.54440567534052,3.8332839534763097,1.77530510639493,4.578160248627144,3.305601594258835,-0.1047691751613836,4.8719734464962965,2.3528507781067387,3.5061338698800744,1.6960987872296525,0.4689082812950467
MS,Mississippi,Humphreys,28053,7216,2.603350351043934,99.69553450608932,Very High,11,1.0,STROKE,BPHIGH,DIABETES,3.2399017518336883,4.047870266964401,4.052847690809284,4.739970994067951,2.6590997408607646,-1.31881646232175,2.189993733160591,3.55885509579072,3.2912231960353187,1.0962282435274722,1.0796796107548288
