stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
GA,Georgia,Twiggs,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AR,Arkansas,Searcy,MHLTH,Frequent mental distress among adults,Health Status,22.1,21.0
AL,Alabama,Escambia,ARTHRITIS,Arthritis among adults,Health Outcomes,29.2,28.0
AL,Alabama,Winston,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
AL,Alabama,Escambia,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,29.9,26.2
AL,Alabama,Pike,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.2,34.8
AR,Arkansas,Phillips,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,29.6,22.1
AR,Arkansas,Desha,BPHIGH,High blood pressure among adults,Health Outcomes,46.7,39.8
AL,Alabama,Butler,SELFCARE,Self-care disability among adults,Disability,5.5,5.4
AR,Arkansas,St. Francis,DISABILITY,Any disability among adults,Disability,43.4,39.4
AL,Alabama,Bibb,HEARING,Hearing disability among adults,Disability,8.4,8.2
AL,Alabama,Sumter,DISABILITY,Any disability among adults,Disability,40.4,39.4
AR,Arkansas,Lawrence,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.8,34.3
AR,Arkansas,Drew,OBESITY,Obesity among adults,Health Outcomes,45.0,43.0
AR,Arkansas,Arkansas,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.5,29.0
AL,Alabama,Wilcox,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,29.0,20.2
AL,Alabama,Dallas,STROKE,Stroke among adults,Health Outcomes,5.2,4.1
AL,Alabama,Clarke,OBESITY,Obesity among adults,Health Outcomes,44.2,43.0
AR,Arkansas,Nevada,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
AR,Arkansas,Greene,DISABILITY,Any disability among adults,Disability,39.8,39.4
AL,Alabama,Lauderdale,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
AR,Arkansas,Clark,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.5,42.3
AL,Alabama,Lowndes,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.6,29.0
AL,Alabama,Choctaw,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.3,14.3
AL,Alabama,Barbour,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.9,62.5
AR,Arkansas,Cross,CHD,Coronary heart disease among adults,Health Outcomes,7.2,7.0
AL,Alabama,Franklin,MOBILITY,Mobility disability among adults,Disability,17.8,17.75
AR,Arkansas,Chicot,INDEPLIVE,Independent living disability among adults,Disability,12.9,11.6
AL,Alabama,Greene,DISABILITY,Any disability among adults,Disability,46.6,39.4
AZ,Arizona,Santa Cruz,GHLTH,Fair or poor self-rated health status among adults,Health Status,26.9,26.9
AL,Alabama,Lowndes,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.9,62.5
AL,Alabama,Monroe,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AK,Alaska,Lake and Peninsula,HEARING,Hearing disability among adults,Disability,10.1,8.2
AK,Alaska,Bethel,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,21.9,13.4
AZ,Arizona,Navajo,VISION,Vision disability among adults,Disability,8.5,7.6
AL,Alabama,Bullock,STROKE,Stroke among adults,Health Outcomes,6.2,4.1
AR,Arkansas,Fulton,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.4,20.8
AL,Alabama,Sumter,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.8,24.0
AR,Arkansas,Franklin,COGNITION,Cognitive disability among adults,Disability,21.2,20.4
AZ,Arizona,Apache,MOBILITY,Mobility disability among adults,Disability,19.5,17.75
AR,Arkansas,Searcy,COGNITION,Cognitive disability among adults,Disability,22.6,20.4
AL,Alabama,Bullock,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.2,17.1
