indicator,high_burden_mean,low_burden_mean,difference
LPA,36.20574324324325,19.3375,16.86824324324325
GHLTH,29.26689189189189,14.576013513513514,14.690878378378377
OBESITY,43.82398648648649,29.968581081081084,13.855405405405406
BPHIGH,41.61891891891892,27.87702702702703,13.741891891891893
CSMOKING,22.333108108108107,11.118918918918919,11.214189189189188
ACCESS2,15.635472972972973,8.10912162162162,7.526351351351353
DIABETES,15.509797297297297,8.402027027027026,7.1077702702702705
MHLTH,21.49087837837838,15.800675675675675,5.690202702702704
COPD,9.650675675675675,4.777364864864865,4.8733108108108105
DEPRESSION,25.404391891891894,21.70945945945946,3.6949324324324344
STROKE,4.478378378378378,2.5212837837837836,1.9570945945945941
