,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
OBESITY_z,1.0,0.6831493601345515,0.7322123232492129,0.6649213155311307,0.6731032799543964,0.16007559050922254,0.7148961104974175,0.7455818903251782,0.6294174546824651,0.5231399412388389,0.2529442612520833
DIABETES_z,0.6831493601345515,1.0,0.8763263827170361,0.9171319148701885,0.7088569661877223,0.016974082684014635,0.6832116408795282,0.8733175719183188,0.9297460925536811,0.5928110585522117,0.6312877129558836
BPHIGH_z,0.7322123232492129,0.8763263827170361,1.0,0.8702271985031504,0.7772730890010114,0.16331188350741999,0.71947259967816,0.8102987921442804,0.8046010603447021,0.6662330803948031,0.3414594554695062
STROKE_z,0.6649213155311307,0.9171319148701885,0.8702271985031504,1.0,0.819108264572962,0.0821435960832427,0.7993409474327542,0.8280519271555439,0.9032911290083273,0.6723970250424003,0.46846344667522605
COPD_z,0.6731032799543964,0.7088569661877223,0.7772730890010114,0.819108264572962,1.0,0.46557824272438897,0.940786475202568,0.7557046009370414,0.7863314216470972,0.8872972614930119,0.24724725243442122
DEPRESSION_z,0.16007559050922254,0.016974082684014635,0.16331188350741999,0.0821435960832427,0.46557824272438897,1.0,0.38220618224171143,0.05844736327494209,0.1512067425653136,0.6659425714019316,-0.2309264790326505
CSMOKING_z,0.7148961104974175,0.6832116408795282,0.71947259967816,0.7993409474327542,0.940786475202568,0.38220618224171143,1.0,0.7637165308719105,0.7483406681917772,0.8045520189871247,0.21997609804965512
LPA_z,0.7455818903251782,0.8733175719183188,0.8102987921442804,0.8280519271555439,0.7557046009370414,0.05844736327494209,0.7637165308719105,1.0,0.8898422273093767,0.6075941580411699,0.5930568666484366
GHLTH_z,0.6294174546824651,0.9297460925536811,0.8046010603447021,0.9032911290083273,0.7863314216470972,0.1512067425653136,0.7483406681917772,0.8898422273093767,1.0,0.7129237796996745,0.6896065331240572
MHLTH_z,0.5231399412388389,0.5928110585522117,0.6662330803948031,0.6723970250424003,0.8872972614930119,0.6659425714019316,0.8045520189871247,0.6075941580411699,0.7129237796996745,1.0,0.19837010705363417
ACCESS2_z,0.2529442612520833,0.6312877129558836,0.3414594554695062,0.46846344667522605,0.24724725243442122,-0.2309264790326505,0.21997609804965512,0.5930568666484366,0.6896065331240572,0.19837010705363417,1.0
