indicator_1,indicator_2,correlation,absolute_correlation
COPD,CSMOKING,0.940786475202568,0.940786475202568
DIABETES,GHLTH,0.9297460925536811,0.9297460925536811
DIABETES,STROKE,0.9171319148701885,0.9171319148701885
STROKE,GHLTH,0.9032911290083273,0.9032911290083273
LPA,GHLTH,0.8898422273093767,0.8898422273093767
COPD,MHLTH,0.8872972614930119,0.8872972614930119
DIABETES,BPHIGH,0.8763263827170361,0.8763263827170361
DIABETES,LPA,0.8733175719183188,0.8733175719183188
BPHIGH,STROKE,0.8702271985031504,0.8702271985031504
STROKE,LPA,0.8280519271555439,0.8280519271555439
STROKE,COPD,0.819108264572962,0.819108264572962
BPHIGH,LPA,0.8102987921442804,0.8102987921442804
BPHIGH,GHLTH,0.8046010603447021,0.8046010603447021
CSMOKING,MHLTH,0.8045520189871247,0.8045520189871247
STROKE,CSMOKING,0.7993409474327542,0.7993409474327542
COPD,GHLTH,0.7863314216470972,0.7863314216470972
BPHIGH,COPD,0.7772730890010114,0.7772730890010114
CSMOKING,LPA,0.7637165308719105,0.7637165308719105
COPD,LPA,0.7557046009370414,0.7557046009370414
CSMOKING,GHLTH,0.7483406681917772,0.7483406681917772
OBESITY,LPA,0.7455818903251782,0.7455818903251782
OBESITY,BPHIGH,0.7322123232492129,0.7322123232492129
BPHIGH,CSMOKING,0.71947259967816,0.71947259967816
OBESITY,CSMOKING,0.7148961104974175,0.7148961104974175
GHLTH,MHLTH,0.7129237796996745,0.7129237796996745
DIABETES,COPD,0.7088569661877223,0.7088569661877223
GHLTH,ACCESS2,0.6896065331240572,0.6896065331240572
DIABETES,CSMOKING,0.6832116408795282,0.6832116408795282
OBESITY,DIABETES,0.6831493601345515,0.6831493601345515
OBESITY,COPD,0.6731032799543964,0.6731032799543964
STROKE,MHLTH,0.6723970250424003,0.6723970250424003
BPHIGH,MHLTH,0.6662330803948031,0.6662330803948031
DEPRESSION,MHLTH,0.6659425714019316,0.6659425714019316
OBESITY,STROKE,0.6649213155311307,0.6649213155311307
DIABETES,ACCESS2,0.6312877129558836,0.6312877129558836
OBESITY,GHLTH,0.6294174546824651,0.6294174546824651
LPA,MHLTH,0.6075941580411699,0.6075941580411699
LPA,ACCESS2,0.5930568666484366,0.5930568666484366
DIABETES,MHLTH,0.5928110585522117,0.5928110585522117
OBESITY,MHLTH,0.5231399412388389,0.5231399412388389
STROKE,ACCESS2,0.46846344667522605,0.46846344667522605
COPD,DEPRESSION,0.46557824272438897,0.46557824272438897
DEPRESSION,CSMOKING,0.38220618224171143,0.38220618224171143
BPHIGH,ACCESS2,0.3414594554695062,0.3414594554695062
OBESITY,ACCESS2,0.2529442612520833,0.2529442612520833
COPD,ACCESS2,0.24724725243442122,0.24724725243442122
DEPRESSION,ACCESS2,-0.2309264790326505,0.2309264790326505
CSMOKING,ACCESS2,0.21997609804965512,0.21997609804965512
MHLTH,ACCESS2,0.19837010705363417,0.19837010705363417
BPHIGH,DEPRESSION,0.16331188350741999,0.16331188350741999
OBESITY,DEPRESSION,0.16007559050922254,0.16007559050922254
DEPRESSION,GHLTH,0.1512067425653136,0.1512067425653136
STROKE,DEPRESSION,0.0821435960832427,0.0821435960832427
DEPRESSION,LPA,0.05844736327494209,0.05844736327494209
DIABETES,DEPRESSION,0.016974082684014635,0.016974082684014635
