stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_percentile
SD,South Dakota,Oglala Lakota,46102,13434,11,1.0,3.591987579071729,100.0
SD,South Dakota,Todd,46121,9199,11,1.0,3.334740947028234,99.96617050067658
LA,Louisiana,East Carroll,22035,6829,11,1.0,3.16297839622122,99.93234100135318
TN,Tennessee,Lake,47095,6347,11,1.0,2.7473138278883984,99.89851150202978
AK,Alaska,Kusilvak,2158,8001,11,1.0,2.739373134949425,99.86468200270636
LA,Louisiana,Madison,22065,9246,11,1.0,2.72205562151747,99.83085250338294
AL,Alabama,Bullock,1011,9897,11,1.0,2.702222365794914,99.79702300405954
WV,West Virginia,McDowell,54047,17439,11,1.0,2.702202630034302,99.76319350473612
ND,North Dakota,Sioux,38085,3643,11,1.0,2.620722960540378,99.72936400541272
MS,Mississippi,Humphreys,28053,7216,11,1.0,2.603350351043934,99.69553450608932
AL,Alabama,Greene,1063,7341,11,1.0,2.584462670212301,99.6617050067659
TN,Tennessee,Hancock,47067,6956,11,1.0,2.545186129519943,99.62787550744248
LA,Louisiana,Claiborne,22027,13670,11,1.0,2.5074514743486747,99.59404600811908
AL,Alabama,Perry,1105,7738,11,1.0,2.4940697748020666,99.56021650879568
TX,Texas,Dimmit,48127,8257,11,1.0,2.483934291427307,99.52638700947226
WV,West Virginia,Mingo,54059,22023,11,1.0,2.449209241583722,99.49255751014886
MS,Mississippi,Holmes,28051,15777,11,1.0,2.43043039082877,99.45872801082544
TX,Texas,Zavala,48507,9312,11,1.0,2.3505609519995443,99.42489851150202
MS,Mississippi,Tunica,28143,9234,11,1.0,2.337898689025859,99.39106901217862
MS,Mississippi,Sharkey,28125,3336,11,1.0,2.2997143957382646,99.35723951285522
MS,Mississippi,Quitman,28119,5546,11,1.0,2.293205270468889,99.3234100135318
LA,Louisiana,Tensas,22107,3764,11,1.0,2.26629772493077,99.28958051420838
AL,Alabama,Wilcox,1131,9944,11,1.0,2.2213081457511565,99.25575101488498
AR,Arkansas,Desha,5041,10479,11,1.0,2.196237413656435,99.22192151556158
SD,South Dakota,Mellette,46095,1851,11,1.0,2.1672736261507906,99.18809201623816
AL,Alabama,Lowndes,1085,9717,11,1.0,2.152553879780417,99.15426251691474
LA,Louisiana,Bienville,22013,12366,11,1.0,2.145516107223351,99.12043301759134
MS,Mississippi,Jefferson,28063,6941,11,1.0,2.115142628991232,99.08660351826794
TX,Texas,Starr,48427,65934,11,1.0,2.114656143321268,99.05277401894452
SD,South Dakota,Buffalo,46017,1884,11,1.0,2.1108329537959154,99.01894451962112
AR,Arkansas,Phillips,5107,14961,11,1.0,2.0748343587703983,98.9851150202977
SD,South Dakota,Corson,46031,3782,11,1.0,2.0585351393193494,98.95128552097428
GA,Georgia,Randolph,13243,6078,11,1.0,2.040564182634078,98.91745602165088
TX,Texas,Jim Hogg,48247,4720,11,1.0,2.038627422836804,98.88362652232748
TX,Texas,Zapata,48505,13736,11,1.0,2.037754334107726,98.84979702300406
SD,South Dakota,Ziebach,46137,2322,11,1.0,2.0305099956669737,98.81596752368064
WV,West Virginia,Calhoun,54013,5959,11,1.0,2.025206965036076,98.78213802435724
