stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3
SD,South Dakota,Oglala Lakota,46102,13434,3.591987579071729,100.0,Very High,11,1.0,CSMOKING,STROKE,DIABETES
SD,South Dakota,Todd,46121,9199,3.334740947028234,99.96617050067658,Very High,11,1.0,CSMOKING,STROKE,DIABETES
LA,Louisiana,East Carroll,22035,6829,3.16297839622122,99.93234100135318,Very High,11,1.0,STROKE,DIABETES,GHLTH
TN,Tennessee,Lake,47095,6347,2.7473138278883984,99.89851150202978,Very High,11,1.0,COPD,CSMOKING,GHLTH
AK,Alaska,Kusilvak,2158,8001,2.739373134949425,99.86468200270636,Very High,11,1.0,CSMOKING,STROKE,GHLTH
LA,Louisiana,Madison,22065,9246,2.72205562151747,99.83085250338294,Very High,11,1.0,STROKE,DIABETES,BPHIGH
AL,Alabama,Bullock,1011,9897,2.702222365794914,99.79702300405954,Very High,11,1.0,STROKE,DIABETES,BPHIGH
WV,West Virginia,McDowell,54047,17439,2.702202630034302,99.76319350473612,Very High,11,1.0,COPD,MHLTH,CSMOKING
ND,North Dakota,Sioux,38085,3643,2.620722960540378,99.72936400541272,Very High,11,1.0,CSMOKING,STROKE,DIABETES
MS,Mississippi,Humphreys,28053,7216,2.603350351043934,99.69553450608932,Very High,11,1.0,STROKE,BPHIGH,DIABETES
AL,Alabama,Greene,1063,7341,2.584462670212301,99.6617050067659,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TN,Tennessee,Hancock,47067,6956,2.545186129519943,99.62787550744248,Very High,11,1.0,COPD,CSMOKING,MHLTH
LA,Louisiana,Claiborne,22027,13670,2.5074514743486747,99.59404600811908,Very High,11,1.0,STROKE,DIABETES,BPHIGH
AL,Alabama,Perry,1105,7738,2.4940697748020666,99.56021650879568,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TX,Texas,Dimmit,48127,8257,2.483934291427307,99.52638700947226,Very High,11,1.0,ACCESS2,GHLTH,DIABETES
WV,West Virginia,Mingo,54059,22023,2.449209241583722,99.49255751014886,Very High,11,1.0,MHLTH,COPD,DEPRESSION
MS,Mississippi,Holmes,28051,15777,2.43043039082877,99.45872801082544,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TX,Texas,Zavala,48507,9312,2.3505609519995443,99.42489851150202,Very High,11,1.0,ACCESS2,GHLTH,DIABETES
MS,Mississippi,Tunica,28143,9234,2.337898689025859,99.39106901217862,Very High,11,1.0,STROKE,BPHIGH,DIABETES
MS,Mississippi,Sharkey,28125,3336,2.2997143957382646,99.35723951285522,Very High,11,1.0,STROKE,BPHIGH,DIABETES
MS,Mississippi,Quitman,28119,5546,2.293205270468889,99.3234100135318,Very High,11,1.0,STROKE,BPHIGH,DIABETES
LA,Louisiana,Tensas,22107,3764,2.26629772493077,99.28958051420838,Very High,11,1.0,STROKE,BPHIGH,DIABETES
AL,Alabama,Wilcox,1131,9944,2.2213081457511565,99.25575101488498,Very High,11,1.0,BPHIGH,STROKE,DIABETES
AR,Arkansas,Desha,5041,10479,2.196237413656435,99.22192151556158,Very High,11,1.0,LPA,STROKE,GHLTH
SD,South Dakota,Mellette,46095,1851,2.1672736261507906,99.18809201623816,Very High,11,1.0,CSMOKING,STROKE,COPD
