indicator,priority_county_mean,overall_mean,difference,percent_difference
GHLTH,31.21216216216216,20.68562246278755,10.52653969937461,50.888194050294366
DIABETES,16.619594594594595,11.168200270635994,5.451394323958601,48.81175294010161
STROKE,4.818918918918919,3.2706698240866037,1.548249094832315,47.337370572546035
COPD,10.182432432432432,6.986941813261164,3.1954906191712675,45.73518292518552
CSMOKING,23.702702702702698,16.342692828146145,7.360009874556553,45.03547825289112
LPA,38.015540540540535,27.01884303112314,10.996697509417395,40.700105096099946
ACCESS2,16.243243243243242,11.673579161028416,4.5696640822148265,39.145355671809654
BPHIGH,43.178378378378376,33.53748308525034,9.64089529312804,28.746627373978672
OBESITY,45.262837837837836,37.62726657645467,7.635571261383163,20.292654652095123
MHLTH,21.839189189189188,18.60707036535859,3.2321188238305965,17.370379970443604
DEPRESSION,25.187162162162164,24.062449255751016,1.1247129064111476,4.674141416183296
