stateabbr,statedesc,counties_analyzed,mean_burden,median_burden,max_burden,min_burden,mean_percentile,very_low_count,low_count,moderate_count,high_count,very_high_count,high_burden_count,very_high_burden_count,high_or_very_high_count,high_or_very_high_pct,state_burden_rank
WV,West Virginia,55,1.136859186944124,1.0911508637153784,2.702202630034302,-0.0242697195154083,88.00344445811292,0,0,2,7,46,7,46,53,96.36363636363636,1
LA,Louisiana,64,1.0574892765159742,0.978752838210414,3.16297839622122,-0.2140007409512896,84.39244333558864,0,0,5,14,45,14,45,59,92.1875,2
MS,Mississippi,82,0.9527786935933419,0.9530919433117948,2.603350351043934,-0.7010635437740432,81.56086009439254,1,2,7,20,52,20,52,72,87.8048780487805,3
TN,Tennessee,95,0.8471059710617573,0.8847148911024807,2.7473138278883984,-1.2528042077717825,81.10034897799302,1,1,10,19,64,19,64,83,87.36842105263159,4
AR,Arkansas,75,0.8400117040253091,0.7952068346992768,2.196237413656435,-0.5954804809040716,81.32972485340551,0,1,6,21,47,21,47,68,90.66666666666666,5
AL,Alabama,67,0.7569862868368943,0.71893404082657,2.702222365794914,-1.0092135930917667,76.74600609940823,1,2,7,21,36,21,36,57,85.07462686567165,6
OK,Oklahoma,77,0.5778707270454916,0.5425018457250483,1.778420180951033,-0.4090866100720465,73.77379048556314,0,2,13,30,32,30,32,62,80.51948051948052,7
GA,Georgia,159,0.4436135012748323,0.5346245012522939,2.040564182634078,-1.6643454446215555,67.15687526063608,11,15,24,42,67,42,67,109,68.55345911949685,8
MO,Missouri,115,0.3866683258274501,0.3992652893658261,1.7800614905351024,-1.0068280150718198,67.04477260693064,3,7,27,46,32,46,32,78,67.82608695652173,9
SC,South Carolina,46,0.3605089714055561,0.32239319928438553,1.6875381763307231,-1.183426429161766,63.8634759075131,3,8,8,12,15,12,15,27,58.69565217391305,10
TX,Texas,253,0.27297323238481447,0.2753897723463726,2.483934291427307,-1.327496864193404,61.787507955949444,16,29,53,101,54,101,54,155,61.26482213438735,11
OH,Ohio,88,0.13420424512404502,0.1682346682519955,1.292122294184907,-1.5400740986521884,57.715432402509535,5,13,25,35,10,35,10,45,51.13636363636363,12
IN,Indiana,92,0.12685470554903833,0.1259235588738441,1.2288598089680955,-1.5034104655613163,58.273151144319584,4,8,34,41,5,41,5,46,50.0,13
NC,North Carolina,100,0.06983025743295762,0.0204275574362,1.7492685555577303,-1.2967796442659676,53.834235453315294,17,9,32,23,19,23,19,42,42.0,14
NM,New Mexico,33,0.009165736652936848,0.0587207411529039,1.9478899203515017,-2.1101792052851707,52.86013039734285,4,4,10,12,3,12,3,15,45.45454545454545,15
MI,Michigan,83,-0.03758537712103412,0.0882632959570009,0.9529923249292196,-1.2624426383071488,51.250876306307774,11,10,25,36,1,36,1,37,44.57831325301205,16
VA,Virginia,133,-0.06597510638823886,-0.0863263789661932,1.3832766017242124,-1.9766158529641809,49.278643157284286,21,34,28,28,22,28,22,50,37.59398496240601,17
FL,Florida,67,-0.09961071469973967,-0.2098870419953202,1.2854181973825798,-1.417347460801643,46.3585321026801,15,16,12,10,14,10,14,24,35.82089552238806,18
NV,Nevada,17,-0.11234825186461242,-0.1660833964669938,0.994134459960502,-1.098101356606802,46.847886651277555,3,2,7,3,2,3,2,5,29.411764705882355,19
AK,Alaska,30,-0.22247315825639186,-0.555682223662749,2.739373134949425,-1.1228414949235723,37.75259359494814,13,6,3,3,5,3,5,8,26.666666666666668,20
SD,South Dakota,66,-0.23489424035420442,-0.5714658095631843,3.591987579071729,-1.434731119644204,34.160618362242175,28,21,5,3,9,3,9,12,18.181818181818183,21
AZ,Arizona,15,-0.24266625043321294,-0.1787892892298859,1.127612266176517,-1.0576214729340454,40.80288678394226,4,3,5,2,1,2,1,3,20.0,22
ME,Maine,16,-0.25408767668649435,-0.16948918918953354,0.5156694902079653,-1.2226355957616326,41.348105548037886,6,1,6,3,0,3,0,3,18.75,23
