stateabbr,statedesc,mean_burden,median_burden,max_burden,counties_analyzed
WV,West Virginia,1.136859186944124,1.0911508637153784,2.702202630034302,55
LA,Louisiana,1.0574892765159742,0.978752838210414,3.16297839622122,64
MS,Mississippi,0.9527786935933418,0.9530919433117948,2.603350351043934,82
TN,Tennessee,0.8471059710617574,0.8847148911024807,2.7473138278883984,95
AR,Arkansas,0.840011704025309,0.7952068346992768,2.196237413656435,75
AL,Alabama,0.7569862868368942,0.71893404082657,2.702222365794914,67
OK,Oklahoma,0.5778707270454916,0.5425018457250483,1.778420180951033,77
GA,Georgia,0.4436135012748323,0.5346245012522939,2.040564182634078,159
MO,Missouri,0.38666832582745,0.3992652893658261,1.7800614905351024,115
SC,South Carolina,0.3605089714055561,0.32239319928438553,1.6875381763307231,46
TX,Texas,0.2729732323848145,0.2753897723463726,2.483934291427307,253
OH,Ohio,0.13420424512404505,0.1682346682519955,1.292122294184907,88
IN,Indiana,0.12685470554903833,0.1259235588738441,1.2288598089680955,92
NC,North Carolina,0.06983025743295763,0.0204275574362,1.7492685555577303,100
NM,New Mexico,0.009165736652936834,0.0587207411529039,1.9478899203515017,33
MI,Michigan,-0.03758537712103413,0.0882632959570009,0.9529923249292196,83
VA,Virginia,-0.06597510638823882,-0.0863263789661932,1.3832766017242124,133
FL,Florida,-0.09961071469973967,-0.2098870419953202,1.2854181973825798,67
NV,Nevada,-0.11234825186461243,-0.1660833964669938,0.994134459960502,17
AK,Alaska,-0.22247315825639186,-0.555682223662749,2.739373134949425,30
SD,South Dakota,-0.2348942403542044,-0.5714658095631843,3.591987579071729,66
AZ,Arizona,-0.2426662504332129,-0.1787892892298859,1.127612266176517,15
ME,Maine,-0.25408767668649435,-0.16948918918953354,0.5156694902079653,16
KS,Kansas,-0.26725869158780746,-0.2574815188690349,0.5838061651419966,105
OR,Oregon,-0.2712431509526038,-0.161743869680092,0.5404724077727585,36
IL,Illinois,-0.28288704103315604,-0.26747545150873275,1.067043603289173,102
MT,Montana,-0.3670737873688305,-0.4744386677331936,1.5265176780177063,56
DE,Delaware,-0.37383740819867173,-0.5239981227251443,0.1387092518997748,3
WI,Wisconsin,-0.4221965709626213,-0.4108249700197935,1.011488160844416,72
IA,Iowa,-0.4339661673725711,-0.4054274011841766,0.4055113435100718,99
ID,Idaho,-0.49134429576461275,-0.512767447717609,0.3801891160330546,44
MD,Maryland,-0.5283328908527184,-0.5926915146879232,0.5506019125161594,24
MN,Minnesota,-0.5831892245625327,-0.5471718130509426,1.1842460859503896,87
ND,North Dakota,-0.5891917852314867,-0.7088250272673726,2.620722960540378,53
CA,California,-0.590967803496967,-0.5675063206345837,0.4037359246179823,58
WY,Wyoming,-0.5993792067205612,-0.5042920734549853,-0.1322277381963656,23
WA,Washington,-0.6362731895527457,-0.6792732418081815,0.4336207147065758,39
NE,Nebraska,-0.6768892740974005,-0.6856539013617038,0.4218170842918263,93
NY,New York,-0.7599630987394675,-0.7240389440349637,0.2217125779523981,62
UT,Utah,-0.7620870826421084,-0.7423104929724095,0.5209334390451397,29
VT,Vermont,-0.9536996726854978,-0.995970074078321,-0.1286639700689895,14
CO,Colorado,-0.9552306839968099,-0.8762293941650435,0.7288634117917645,64
CT,Connecticut,-0.9959271569523023,-0.8971633285685414,-0.7056065142012756,9
NH,New Hampshire,-1.0370374116013277,-1.0935335668599888,-0.3181690901748176,10
MA,Massachusetts,-1.0812729530661689,-1.0676382240446076,-0.0421086598995871,14
RI,Rhode Island,-1.0909321580525353,-1.3778507975139946,-0.4320738597279612,5
HI,Hawaii,-1.0974516660286617,-1.2709920023426435,-0.692350247424897,5
NJ,New Jersey,-1.1245203176032836,-1.1051460744888462,0.2482079339613427,21
DC,District of Columbia,-1.5329140846532132,-1.5329140846532132,-1.5329140846532132,1
