stateabbr,statedesc,measureid,measure,category,county_count,mean_prevalence,median_prevalence,min_prevalence,max_prevalence
AK,Alaska,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,30,11.5,10.75,8.3,18.1
AK,Alaska,ARTHRITIS,Arthritis among adults,Health Outcomes,30,22.35,21.95,17.7,28.4
AK,Alaska,BINGE,Binge drinking among adults,Health Risk Behaviors,30,18.41,18.7,15.0,21.3
AK,Alaska,BPHIGH,High blood pressure among adults,Health Outcomes,30,32.8,31.95,29.5,41.5
AK,Alaska,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,30,51.16,51.0,49.1,54.2
AK,Alaska,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,30,6.4,6.65,4.7,7.4
AK,Alaska,CASTHMA,Current asthma among adults,Health Outcomes,30,10.92,10.5,7.8,14.6
AK,Alaska,CHD,Coronary heart disease among adults,Health Outcomes,30,6.24,5.95,5.0,9.6
AK,Alaska,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,30,65.96,66.05,62.4,70.7
AK,Alaska,CHOLSCREEN,Cholesterol screening among adults,Prevention,30,77.24,77.5,70.4,80.6
AK,Alaska,COGNITION,Cognitive disability among adults,Disability,30,15.7,14.9,12.2,25.1
AK,Alaska,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,30,51.58,52.25,40.1,57.6
AK,Alaska,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,30,6.69,6.05,4.8,12.4
AK,Alaska,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,30,19.34,16.85,13.8,36.9
AK,Alaska,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,30,53.56,55.5,32.2,64.2
AK,Alaska,DEPRESSION,Depression among adults,Health Outcomes,30,19.68,20.15,12.3,22.7
AK,Alaska,DIABETES,Diagnosed diabetes among adults,Health Outcomes,30,10.35,9.1,7.7,18.0
AK,Alaska,DISABILITY,Any disability among adults,Disability,30,32.11,30.15,26.1,49.9
AK,Alaska,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30,27.96,26.55,22.2,36.1
AK,Alaska,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,30,19.05,15.2,11.2,45.8
AK,Alaska,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,30,13.51,10.05,7.6,38.9
AK,Alaska,GHLTH,Fair or poor self-rated health status among adults,Health Status,30,21.24,18.8,15.5,39.0
AK,Alaska,HEARING,Hearing disability among adults,Disability,30,8.69,8.15,6.9,13.8
AK,Alaska,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,30,30.26,30.0,28.5,32.5
AK,Alaska,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,30,15.14,12.75,10.1,31.6
AK,Alaska,INDEPLIVE,Independent living disability among adults,Disability,30,8.99,7.85,6.4,17.6
AK,Alaska,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,30,11.66,9.7,7.5,26.8
AK,Alaska,LONELINESS,Loneliness among adults,Health-Related Social Needs,30,34.34,34.0,30.2,39.3
AK,Alaska,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,30,24.2,22.65,17.0,38.5
AK,Alaska,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,30,64.38,64.4,48.5,71.4
AK,Alaska,MHLTH,Frequent mental distress among adults,Health Status,30,17.01,16.45,13.0,23.5
AK,Alaska,MOBILITY,Mobility disability among adults,Disability,30,13.29,11.85,10.0,25.1
